,1,2,3
43.jpg,0.010084033613445379,290.7187724522182,"(3.639000415802002, 7200)"
44.jpg,0.00990952175786299,307.99688286310845,"(3.901005506515503, 7200)"
45.jpg,0.03558718861209965,314.0127655246504,"(3.9230003356933594, 7200)"
46.jpg,0.04132231404958678,283.0089877735485,"(3.8379995822906494, 7200)"
47.jpg,0.025449101796407185,305.4736595953296,"(3.911001443862915, 7200)"
48.jpg,0.013054830287206266,307.27885902892825,"(4.086994647979736, 7200)"
49.jpg,0.004805382027871216,317.09637212134623,"(3.87599778175354, 7200)"
5.jpg,0.028532608695652172,298.42856550216675,"(3.7309763431549072, 7200)"
50.jpg,0.002637096964806067,368.6165933997004,"(9.809001922607422, 7200)"
51.jpg,0.028824833702882482,293.0293351725306,"(3.9559996128082275, 7200)"
52.jpg,0.02829711975745326,294.26062850605183,"(4.0379979610443115, 7200)"
53.jpg,0.0,305.6547027587891,"(3.9360029697418213, 7200)"
54.jpg,0.09420289855072464,287.473910179691,"(3.8339970111846924, 7200)"
55.jpg,0.04,298.7859485880534,"(3.8409976959228516, 7200)"
56.jpg,0.021739130434782608,312.36599283633024,"(3.709993600845337, 7200)"
57.jpg,0.008130081300813009,323.4718890926702,"(3.8089983463287354, 7200)"
58.jpg,0.04714640198511166,259.0451657908134,"(3.851003646850586, 7200)"
59.jpg,0.05161290322580645,238.50807978722358,"(3.80899977684021, 7200)"
6.jpg,0.009779951100244499,309.17325239484643,"(3.7079970836639404, 7200)"
60.jpg,0.02666666666666667,255.08485938517254,"(3.7740018367767334, 7200)"
61.jpg,0.03468208092485549,302.7886962008614,"(3.8409996032714844, 7200)"
62.jpg,0.016666666666666666,317.92156694200304,"(3.7959978580474854, 7200)"
63.jpg,0.03326750721555522,302.8085406383229,"(4.129000186920166, 7200)"
64.jpg,0.01282051282051282,315.7991706652519,"(3.844001054763794, 7200)"
65.jpg,0.0,314.49142267007744,"(3.6780006885528564, 7200)"
66.jpg,0.03333333333333333,300.15651550292966,"(3.8910014629364014, 7200)"
67.jpg,0.018957345971563982,311.9230545911744,"(3.996001720428467, 7200)"
68.jpg,0.0,321.54420320487316,"(3.9050028324127197, 7200)"
69.jpg,0.009174311926605505,297.6866005013842,"(3.9410178661346436, 7200)"
7.jpg,0.023575638506876228,318.2330663115196,"(3.880995512008667, 7200)"
70.jpg,0.06557377049180328,314.2820732241771,"(3.8599987030029297, 7200)"
71.jpg,0.046561992420140766,260.29824906758637,"(4.003999710083008, 7200)"
72.jpg,0.04835924006908463,264.89158773339886,"(4.075004577636719, 7200)"
73.jpg,0.03220338983050847,267.93846745895127,"(3.843001365661621, 7200)"
74.jpg,0.02943121693121693,308.9957277472057,"(3.9969985485076904, 7200)"
75.jpg,0.0067879098360655735,335.4570581673599,"(4.006004571914673, 7200)"
76.jpg,0.04155124653739612,287.5783834906496,"(3.639996290206909, 7200)"
77.jpg,0.02267716535433071,293.87235386525555,"(3.8559961318969727, 7200)"
78.jpg,0.061206896551724135,275.3848379661297,"(3.648003339767456, 7200)"
79.jpg,0.038669487541137755,300.0169675367003,"(3.8870060443878174, 7200)"
8.jpg,0.012567435017165278,323.7894501440545,"(4.140008211135864, 7200)"
80.jpg,0.035128087129927904,289.2003844451787,"(3.9140026569366455, 7200)"
81.jpg,0.04327106366755623,273.54479480180584,"(3.893967866897583, 7200)"
82.jpg,0.020289855072463767,316.7573841481969,"(3.736992120742798, 7200)"
83.jpg,0.04960835509138381,310.542801500923,"(3.7909996509552, 7200)"
84.jpg,0.06344827586206897,292.8168269190295,"(3.672977924346924, 7200)"
85.jpg,0.02501405283867341,308.70703958325873,"(3.889996290206909, 7200)"
86.jpg,0.027450980392156862,316.179729865579,"(3.631004571914673, 7200)"
87.jpg,0.013333333333333334,328.14535915120445,"(3.721001386642456, 7200)"
88.jpg,0.017391304347826087,332.46485151207963,"(3.6669952869415283, 7200)"
89.jpg,0.017391304347826087,332.46485151207963,"(3.7089977264404297, 7200)"
9.jpg,0.05283757338551859,288.86764251649265,"(3.7339985370635986, 7200)"
90.jpg,0.0,315.13908240908665,"(3.701996326446533, 7200)"
91.jpg,0.07407407407407407,281.3420628946294,"(4.090001106262207, 7200)"
92.jpg,0.05337078651685393,260.1683213308956,"(3.8940060138702393, 7200)"
93.jpg,0.07853403141361257,238.5914064177668,"(4.1840009689331055, 7200)"
94.jpg,0.05421686746987952,254.19278675676827,"(4.406001329421997, 7200)"
95.jpg,0.00909090909090909,297.03984277898616,"(3.999999761581421, 7200)"
96.jpg,0.012345679012345678,298.8754722689405,"(4.18799614906311, 7200)"
97.jpg,0.032729805013927575,261.5070185408951,"(4.093001365661621, 7200)"
